Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
1,4,Harvard University *,USA,Universities,1
2,7,Harvard Medical School,USA,Universities,1
3,15,Stanford University *,USA,Universities,1
4,23,Johns Hopkins University *,USA,Universities,1
5,32,Massachusetts Institute of Technology *,USA,Universities,1
6,36,"University of Michigan, Ann Arbor *",USA,Universities,1
7,37,University of Washington *,USA,Universities,1
8,42,University of Pennsylvania *,USA,Universities,1
9,52,Cornell University *,USA,Universities,1
10,53,Columbia University *,USA,Universities,1
11,55,"University of California, Los Angeles *",USA,Universities,1
12,66,Yale University *,USA,Universities,1
13,75,"University of California, San Francisco *",USA,Universities,1
14,78,"University of California, Berkeley *",USA,Universities,1
15,86,"University of California, San Diego *",USA,Universities,1
16,93,Duke University *,USA,Universities,1
17,98,University of Chicago *,USA,Universities,1
18,112,New York University *,USA,Universities,1
19,113,"Northwestern University, Evanston *",USA,Universities,1
20,115,"University of North Carolina, Chapel Hill *",USA,Universities,1
21,127,"Ohio State University, Columbus *",USA,Universities,1
22,131,"University of Minnesota, Twin Cities *",USA,Universities,1
23,136,University of Florida *,USA,Universities,1
24,138,"University of Wisconsin, Madison *",USA,Universities,1
25,149,University of Southern California *,USA,Universities,1
26,155,"University of California, Davis *",USA,Universities,1
27,162,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,1
28,168,Pennsylvania State University *,USA,Universities,1
29,171,Washington University in Saint Louis *,USA,Universities,1
30,175,University of Pittsburgh *,USA,Universities,1
31,183,University of Illinois at Urbana-Champaign *,USA,Universities,1
32,191,Emory University *,USA,Universities,1
33,197,Weill Medical College of Cornell University *,USA,Universities,1
34,198,"University of Texas, Austin",USA,Universities,1
35,214,Vanderbilt University *,USA,Universities,1
36,226,Purdue University,USA,Universities,1
37,231,Georgia Institute of Technology *,USA,Universities,1
37,231,Boston University *,USA,Universities,1
39,239,Carnegie Mellon University *,USA,Universities,1
40,245,"Rutgers, The State University of New Jersey",USA,Universities,1
41,251,Icahn School of Medicine at Mount Sinai,USA,Universities,1
42,255,"Texas A&M University, College Station *",USA,Universities,1
43,268,University of Utah *,USA,Universities,1
44,283,"University of California, Irvine *",USA,Universities,1
45,287,"University of Maryland, College Park *",USA,Universities,1
46,301,Arizona State University *,USA,Universities,1
47,349,University of Arizona *,USA,Universities,1
48,352,Michigan State University,USA,Universities,1
49,353,Princeton University,USA,Universities,1
50,366,"University of Colorado, Denver *",USA,Universities,1
51,380,California Institute of Technology *,USA,Universities,1
52,381,University of Virginia *,USA,Universities,1
53,385,The Rockefeller University *,USA,Universities,1
54,408,North Carolina State University,USA,Universities,1
55,415,University of Miami *,USA,Universities,1
56,428,Baylor College of Medicine,USA,Universities,1
57,442,University of Rochester *,USA,Universities,1
58,454,"University of Colorado, Anschutz Medical Campus",USA,Universities,1
58,454,"University of Colorado, Boulder *",USA,Universities,1
60,458,Virginia Polytechnic Institute and State University *,USA,Universities,1
61,477,"University of Illinois, Chicago *",USA,Universities,1
62,485,Brown University,USA,Universities,1
63,489,University of Texas Southwestern Medical Center,USA,Universities,1
64,494,"University of Alabama, Birmingham *",USA,Universities,1
65,505,University of Iowa *,USA,Universities,1
66,506,"University of Maryland, Baltimore",USA,Universities,1
67,511,"Northeastern University, USA",USA,Universities,1
68,516,Case Western Reserve University,USA,Universities,1
69,539,"University of California, Santa Barbara *",USA,Universities,1
70,558,Oregon Health & Science University *,USA,Universities,1
71,564,University of Cincinnati *,USA,Universities,1
72,583,University of Pittsburgh Health Sciences,USA,Universities,1
73,599,University of Georgia,USA,Universities,1
74,606,"University of Connecticut, Storrs *",USA,Universities,1
75,627,"University of Massachusetts, Amherst",USA,Universities,1
76,647,University of South Florida System *,USA,Universities,1
77,676,Iowa State University,USA,Universities,1
78,679,Indiana University-Bloomington,USA,Universities,1
79,688,Temple University *,USA,Universities,1
80,697,University of South Florida,USA,Universities,1
81,699,"State University of New York, Stony Brook *",USA,Universities,1
82,718,"Colorado State University, Fort Collins *",USA,Universities,1
83,735,George Washington University *,USA,Universities,1
84,738,"University of Tennessee, Knoxville *",USA,Universities,1
85,755,Rice University,USA,Universities,1
86,756,University of Kentucky *,USA,Universities,1
87,782,"State University of New York, Buffalo",USA,Universities,1
88,788,University of Kansas *,USA,Universities,1
89,797,City University of New York *,USA,Universities,1
90,809,University of Houston,USA,Universities,1
91,810,Tufts University,USA,Universities,1
92,829,Virginia Commonwealth University *,USA,Universities,1
93,836,"University of California, Riverside",USA,Universities,1
94,837,Georgetown University *,USA,Universities,1
95,844,University of Massachusetts Chan Medical School,USA,Universities,1
96,846,University of Central Florida,USA,Universities,1
97,851,"University of Nebraska, Lincoln",USA,Universities,1
98,892,Oregon State University,USA,Universities,1
99,894,University of Minnesota Health and Medicine,USA,Universities,1
100,906,Indiana University-Purdue University Indianapolis,USA,Universities,1
101,925,Dartmouth College *,USA,Universities,1
102,927,Wayne State University,USA,Universities,1
103,967,University of Oklahoma *,USA,Universities,1
104,988,"University of Texas, Health Science Center at Houston",USA,Universities,1
105,1000,University of Notre Dame,USA,Universities,1
106,1059,"Washington State University, Pullman *",USA,Universities,1
107,1071,Florida State University *,USA,Universities,1
108,1073,University of South Carolina *,USA,Universities,1
109,1080,"University of Missouri, Columbia *",USA,Universities,1
110,1085,"University of Texas, Dallas",USA,Universities,1
111,1099,"University of California, Santa Cruz",USA,Universities,1
112,1105,Albert Einstein College of Medicine,USA,Universities,1
113,1113,University of New Mexico *,USA,Universities,1
114,1119,Wake Forest University *,USA,Universities,1
115,1143,"University of Hawaii, Manoa *",USA,Universities,1
116,1165,University of Delaware,USA,Universities,2
117,1178,Drexel University,USA,Universities,1
118,1206,University of Texas Medical Branch,USA,Universities,1
119,1252,Florida International University,USA,Universities,1
120,1286,George Mason University,USA,Universities,1
121,1321,The Florida A&M University and The Florida State University College of Engineering,USA,Universities,1
122,1346,Medical College of Wisconsin,USA,Universities,2
123,1358,Medical University of South Carolina *,USA,Universities,2
124,1361,"Louisiana State University, Baton Rouge",USA,Universities,1
125,1365,University of Nebraska Medical Center,USA,Universities,2
126,1394,Georgia State University,USA,Universities,1
127,1402,Thomas Jefferson University *,USA,Universities,2
128,1415,Tulane University,USA,Universities,1
129,1438,West Virginia University *,USA,Universities,1
130,1442,University of Texas Health Science Center at San Antonio,USA,Universities,2
131,1474,Rensselaer Polytechnic Institute,USA,Universities,1
132,1506,Rush University *,USA,Universities,2
133,1509,CUNY Graduate School and University Center,USA,Universities,1
134,1515,Stevens Institute of Technology,USA,Universities,1
135,1518,Clemson University,USA,Universities,2
136,1557,USF Health,USA,Universities,1
137,1598,Texas A&M Health,USA,Universities,2
138,1649,"University of Texas, San Antonio",USA,Universities,2
139,1721,Kansas State University,USA,Universities,2
140,1776,University of Louisville *,USA,Universities,2
141,1778,"University of California, Merced",USA,Universities,2
142,1785,Utah State University *,USA,Universities,2
143,1794,University of Mississippi *,USA,Universities,2
144,1817,Brigham Young University,USA,Universities,2
144,1817,"City University of New York, City College",USA,Universities,2
146,1820,New Jersey Institute of Technology,USA,Universities,1
147,1836,Auburn University,USA,Universities,2
148,1846,"University of Texas, Arlington",USA,Universities,2
149,1848,Texas Tech University,USA,Universities,2
150,1915,University of New Mexico Health Sciences Center,USA,Universities,2
151,1916,University of Vermont,USA,Universities,2
152,1929,San Diego State University,USA,Universities,2
152,1929,"University of Arkansas, Fayetteville",USA,Universities,2
154,1998,Virginia-Maryland Regional College of Veterinary Medicine,USA,Universities,2
155,2013,Binghamton University,USA,Universities,1
156,2018,University of Nevada-Reno,USA,Universities,2
157,2033,University of Oregon,USA,Universities,2
158,2049,Mississippi State University,USA,Universities,2
159,2067,Rochester Institute of Technology *,USA,Universities,2
160,2072,"Saint Louis University, Saint Louis *",USA,Universities,2
161,2162,Graduate School of Public Health and Health Policy,USA,Universities,2
162,2168,"University of Michigan, Dearborn",USA,Universities,1
163,2173,Augusta University *,USA,Universities,2
164,2176,University of Tennessee Health Science Center,USA,Universities,2
165,2179,University of Akron,USA,Universities,1
166,2183,University of Rhode Island,USA,Universities,2
166,2183,Illinois Institute of Technology,USA,Universities,1
168,2195,"Oklahoma State University, Stillwater *",USA,Universities,2
169,2212,"Montana State University, Bozeman",USA,Universities,2
170,2214,"City University of New York, Hunter College",USA,Universities,2
171,2219,University of North Texas,USA,Universities,2
172,2240,"University of Alabama, Tuscaloosa",USA,Universities,2
173,2291,University of Oklahoma Health Sciences Center,USA,Universities,2
174,2296,"State University of New York, Albany",USA,Universities,2
175,2319,"University of Maryland, Baltimore County",USA,Universities,2
176,2330,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,USA,Universities,2
177,2334,Michigan Technological University,USA,Universities,2
178,2413,Worcester Polytechnic Institute,USA,Universities,1
179,2414,Hofstra University *,USA,Universities,2
180,2424,University of South Florida-Saint Petersburg,USA,Universities,2
181,2474,University of Arkansas for Medical Sciences,USA,Universities,2
182,2478,Northern Arizona University,USA,Universities,2
183,2528,"University of North Carolina, Charlotte",USA,Universities,2
184,2545,University of Mississippi Medical Center,USA,Universities,2
185,2550,Florida Atlantic University,USA,Universities,2
186,2593,"University of Massachusetts, Lowell",USA,Universities,2
187,2595,"University of Missouri, Kansas City",USA,Universities,2
188,2613,Colorado School of Mines,USA,Universities,2
189,2661,Uniformed Services University of the Health Sciences,USA,Universities,2
190,2668,Missouri University of Science & Technology,USA,Universities,2
191,2672,Loyola University Chicago *,USA,Universities,2
192,2685,San Jose State University,USA,Universities,2
193,2689,"Washington State University, Spokane Campus",USA,Universities,2
194,2720,South Dakota State University,USA,Universities,2
195,2766,Florida Agricultural & Mechanical University *,USA,Universities,2
196,2781,Syracuse University,USA,Universities,2
197,2790,Baylor University,USA,Universities,2
198,2798,Brandeis University,USA,Universities,2
199,2814,Kent State University,USA,Universities,2
200,2816,Boston College,USA,Universities,2
201,2827,Upstate Medical University *,USA,Universities,2
202,2849,Kaiser Permanente Bernard J Tyson School of Medicine,USA,Universities,1
203,2853,University of Nevada-Las Vegas,USA,Universities,2
204,2871,University of Toledo *,USA,Universities,2
205,2887,Chapman University,USA,Universities,2
206,2904,"University of Illinois, College of Medicine at Peoria",USA,Universities,2
207,2907,"State University of New York, New Paltz",USA,Universities,1
208,2915,University of Idaho *,USA,Universities,2
209,3051,Southern Methodist University,USA,Universities,2
210,3076,Xavier University of Louisiana,USA,Universities,1
211,3080,Lehman College,USA,Universities,2
212,3084,Texas Tech University Health Sciences Center,USA,Universities,2
