university,diff_side,url
NYU,only_in_max_100,https://cds.nyu.edu/ai-misinformation-and-policy-seminar-series/
NYU,only_in_max_100,https://guides.nyu.edu/data/ai-governance
NYU,only_in_max_100,https://guides.nyu.edu/data/chatgpt
NYU,only_in_max_100,https://guides.nyu.edu/data/chatgpt-developer
NYU,only_in_max_100,https://journalism.nyu.edu/about-us/resources/ethics-handbook-for-students/
NYU,only_in_max_100,https://tisch.nyu.edu/student-affairs/important-resources/academic-integrity-policy
NYU,only_in_max_100,https://wp.nyu.edu/compliance_enforcement/2023/02/10/does-your-company-need-a-chatgpt-policy-probably/
NYU,only_in_max_100,https://wp.nyu.edu/compliance_enforcement/2024/12/10/ai-judgment-rules/
NYU,only_in_max_100,https://wp.nyu.edu/compliance_enforcement/tag/chatgpt/
NYU,only_in_max_100,https://www.nyu.edu/about/policies-guidelines-compliance/policies-and-guidelines.html
NYU,only_in_max_100,https://www.nyu.edu/content/dam/nyu/provost/documents/Chat%20GPT%20email.pdf
NYU,only_in_no_max,https://guides.nyu.edu/c.php?g=1307730&p=9624166
NYU,only_in_no_max,https://guides.nyu.edu/data/ai-teaching-and-learning
NYU,only_in_no_max,https://www.nyu.edu/about/leadership-university-administration/office-of-the-president/office-of-the-provost/vice-provostial-communications/NYU-wide-Workshops-on-Teaching-Learning-with-GenAI.html
NYU,only_in_no_max,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/resources.html
UW,only_in_max_100,https://cs.washington.edu/?aoe_artificial_intelligence=generative-ai
UW,only_in_max_100,https://education.washington.edu/foryou/students/academic-conduct
UW,only_in_max_100,https://integrated-social-sciences.washington.edu/iss-core-course-ai-policy-and-guidelines
UW,only_in_max_100,https://teaching.washington.edu/about/ctl/
UW,only_in_max_100,https://www.cs.washington.edu/academics/graduate/certificate-modern-ai/student-handbook/
UW,only_in_max_100,https://www.cs.washington.edu/academics/schoolwide-policies/
UW,only_in_max_100,https://www.cs.washington.edu/lab/policies-and-guidelines
UW,only_in_max_100,https://www.grad.washington.edu/e
UW,only_in_max_100,https://www.hcde.washington.edu/hcai/faq
UW,only_in_max_100,https://www.washington.edu/coronavirus/category/academics/
UW,only_in_max_100,https://www.washington.edu/federalrelations/2025/11/25/wh-launches-genesis-mission-for-ai/
UW,only_in_max_100,https://www.washington.edu/news/2023/08/16/jason-yip-ai-chatgpt-education-learning-teaching-schools/
UW,only_in_max_100,https://www.washington.edu/news/2023/09/25/ai-school-chatgpt-katie-davis/
UW,only_in_max_100,https://www.washington.edu/news/2025/11/18/10-million-gift-from-charles-and-lisa-simonyi-establishes-aiuw-to-advance-artificial-intelligence-and-emerging-technologies/
UW,only_in_max_100,https://www.washington.edu/provost/
UW,only_in_max_100,https://www.washington.edu/provost/blog/
UW,only_in_max_100,https://www.washington.edu/research/forms-and-templates/supplement-ai/
UW,only_in_no_max,https://artsci.washington.edu/news/2026-01/student-perspectives-ai
UW,only_in_no_max,https://lib.washington.edu/about/policy/usageguidelines
UW,only_in_no_max,https://www.washington.edu/provost/2026/02/04/federal-policy-updates-feb-4-2026/
