Rank,Global Rank,Institution,Country,Sector,Best Country Quartile
2,7,Harvard Medical School,USA,Universities,1
27,162,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,1
76,647,University of South Florida System *,USA,Universities,1
121,1321,The Florida A&M University and The Florida State University College of Engineering,USA,Universities,1
136,1557,USF Health,USA,Universities,1
137,1598,Texas A&M Health,USA,Universities,2
150,1915,University of New Mexico Health Sciences Center,USA,Universities,2
154,1998,Virginia-Maryland Regional College of Veterinary Medicine,USA,Universities,2
161,2162,Graduate School of Public Health and Health Policy,USA,Universities,2
176,2330,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,USA,Universities,2
189,2661,Uniformed Services University of the Health Sciences,USA,Universities,2
202,2849,Kaiser Permanente Bernard J Tyson School of Medicine,USA,Universities,1
227,3525,Colorado School of Public Health,USA,Universities,2
238,3685,Ochsner Clinical School,USA,Universities,2
252,3938,Teachers College of Columbia University,USA,Universities,1
257,3998,SUNY Downstate Medical Center,USA,Universities,3
288,4622,University at Texas Rio Grande Valley,USA,Universities,3
309,4984,Miami University of Ohio,USA,Universities,2
361,5912,Haverford College in Pennsylvania,USA,Universities,3
373,6051,Touro College,USA,Universities,3
403,6643,AT Still University,USA,Universities,3
411,6714,United States Military Academy at West Point,USA,Universities,2
554,8852,State University of West Georgia,USA,Universities,4
